Latitude,Temperature,Humidity,Cloudiness,Wind Speed
-2.88,27.8,89,64,2.26
-2.02,28.8,100,32,3.46
70.47,2.0,100,90,4.6
-2.88,27.8,89,64,2.26
-2.02,28.8,100,32,3.46
70.47,2.0,100,90,4.6
68.22,15.0,62,75,5.7
-34.42,6.68,92,56,2.11
20.52,24.93,28,0,1.96
-23.12,24.35,96,76,7.16
-9.8,26.7,100,24,5.21
54.08,13.52,87,0,3.1
15.01,25.1,76,24,3.41
-0.74,21.33,100,12,6.11
71.98,6.93,81,56,6.61
59.7,17.0,77,0,1.0
30.78,14.38,100,92,0.66
-0.87,28.58,100,32,2.71
-1.2,25.88,84,0,4.71
58.3,19.66,53,75,4.6
-51.62,2.0,80,0,6.2
-33.64,15.33,100,44,13.11
42.65,22.0,64,75,3.6
45.36,22.25,83,1,3.01
27.97,24.45,66,0,4.66
66.04,8.48,62,0,1.61
-33.93,11.0,93,75,6.2
13.21,24.6,83,92,3.76
-33.59,16.23,91,12,9.31
73.51,2.98,100,20,7.81
60.55,20.0,64,90,3.6
50.7,16.0,82,40,5.7
41.53,27.0,12,1,1.5
45.18,24.51,78,0,3.1
70.62,4.83,100,92,4.36
12.8,27.0,83,75,4.1
21.67,24.7,89,92,6.81
-54.81,4.0,86,75,11.3
-10.46,26.43,100,80,6.46
31.37,30.01,45,75,4.1
-53.16,4.0,80,40,7.2
-11.3,16.23,73,0,2.66
31.35,25.0,88,40,2.6
69.44,7.0,93,90,7.2
42.65,27.93,72,0,1.11
-2.54,26.08,85,76,1.21
17.62,29.08,66,24,6.61
12.22,29.35,90,76,5.91
49.72,14.0,93,90,5.1
44.36,23.58,56,20,7.2
13.01,22.35,85,44,2.76
68.75,17.68,60,24,2.31
-5.36,29.08,63,12,1.36
15.34,21.53,97,100,3.36
-7.01,29.78,41,88,3.81
22.95,24.0,94,20,1.5
27.52,34.0,34,75,3.6
68.05,18.28,91,0,2.76
-15.12,18.0,100,75,2.1
-21.21,22.0,68,75,4.1
19.71,25.21,72,1,2.6
44.06,19.97,60,1,2.1
10.09,20.0,94,40,1.5
69.49,9.68,78,68,3.66
-33.21,13.58,67,0,1.86
-8.93,27.8,45,8,0.71
38.52,23.35,99,32,2.86
6.8,24.0,94,40,2.1
64.17,3.0,100,76,7.7
3.78,28.45,99,24,2.56
23.15,25.01,94,20,1.5
60.79,12.0,93,90,6.2
77.48,6.35,80,8,2.31
-30.97,-4.93,73,12,1.41
42.44,16.13,99,68,0.96
65.28,19.0,82,75,2.6
-23.58,22.83,30,0,1.66
45.16,24.16,74,0,2.6
29.94,24.97,78,90,6.7
43.52,17.42,100,40,1.5
-41.05,11.48,100,0,6.56
67.8,16.05,70,8,1.81
4.79,21.08,99,76,2.41
62.16,11.35,78,92,4.66
28.66,22.0,73,68,6.2
0.57,25.33,94,80,1.41
5.38,27.33,95,32,4.76
-34.91,4.0,86,20,1.5
39.36,17.0,82,0,4.6
55.74,15.0,47,75,1.0
71.64,10.45,78,0,6.71
-20.63,13.8,87,0,2.06
-5.11,23.95,80,0,4.06
-31.97,15.85,72,0,2.06
64.84,28.0,30,1,2.1
-0.6,28.2,100,24,3.46
60.14,5.18,91,100,1.36
63.83,18.46,88,75,4.1
-28.55,13.23,100,0,3.91
-0.39,6.08,100,68,0.86
66.83,6.18,100,44,10.11
62.45,16.0,72,75,4.6
49.96,17.0,77,40,2.0
63.05,10.1,99,88,4.71
29.05,24.7,77,68,0.86
-9.65,27.83,69,24,2.71
-37.83,12.45,88,64,1.56
-42.88,12.0,50,75,4.1
-46.28,12.93,75,0,4.56
35.61,20.19,94,90,2.6
63.93,17.33,64,0,2.51
41.35,22.0,94,0,1.0
-46.43,9.8,55,64,8.81
41.42,13.43,84,0,1.21
52.48,18.72,64,75,1.5
-26.57,1.93,58,0,1.76
14.1,25.68,75,68,5.66
22.08,28.4,74,1,4.1
-16.52,25.8,100,36,1.06
16.18,24.0,83,40,4.6
-10.41,23.83,77,88,3.16
-23.7,25.0,14,0,4.1
26.61,28.48,96,80,6.16
-34.53,12.0,66,48,2.6
67.55,4.95,65,80,6.36
-20.74,26.58,23,0,5.61
32.12,23.0,83,20,3.6
17.01,24.0,100,90,2.6
-22.43,23.58,100,32,6.91
44.31,21.94,78,75,2.1
10.57,25.98,100,76,5.36
1.95,13.3,92,92,1.06
20.2,31.03,36,44,8.26
15.74,25.0,73,75,1.36
-16.84,17.3,97,92,1.21
-10.65,22.98,93,44,0.96
69.38,5.85,88,0,1.86
37.05,33.0,55,40,2.1
-42.78,12.0,50,75,4.1
37.46,18.68,93,90,3.6
37.4,19.58,75,0,1.41
37.72,20.0,77,75,1.5
-20.41,19.0,88,75,2.6
7.3,21.8,94,76,3.91
55.93,13.88,78,68,0.31
34.7,30.0,70,20,7.2
6.12,26.53,100,24,5.56
-1.83,22.95,95,24,2.31
63.75,13.13,89,76,3.61
31.44,21.38,99,92,0.76
45.09,24.63,73,0,2.76
8.96,10.2,94,88,1.36
-43.03,12.0,50,75,4.1
65.61,7.0,93,100,1.0
59.64,16.96,72,75,3.6
78.22,6.55,100,92,0.86
22.89,29.18,69,20,6.7
-22.28,24.0,57,0,6.2
12.5,27.0,83,75,4.1
-45.87,13.58,60,0,2.26
20.78,24.78,91,92,7.51
53.89,20.3,89,0,2.01
-17.91,9.83,48,0,2.41
43.97,26.38,56,1,1.5
-2.57,27.98,100,48,1.66
37.14,26.0,54,0,3.6
39.42,22.0,83,20,2.1
18.41,22.2,77,48,0.66
-3.66,27.93,100,68,2.11
-7.84,17.23,93,68,1.51
61.68,9.55,99,92,3.21
44.66,27.05,67,76,2.26
-11.1,13.85,94,64,2.01
0.54,28.53,66,20,2.46
15.09,28.0,94,20,2.1
-46.13,10.83,94,8,4.91
44.65,20.0,94,5,2.1
-42.48,2.53,98,68,1.16
11.04,23.78,95,92,1.16
26.54,28.83,98,92,7.26
64.42,14.0,87,90,4.0
16.99,29.0,74,40,2.6
-19.56,6.73,64,0,1.36
72.79,3.98,96,88,4.46
-26.98,9.53,76,0,2.06
63.84,9.0,100,0,4.1
31.08,27.55,91,12,3.61
41.89,24.37,73,0,1.5
5.67,28.13,100,68,3.36
-22.97,19.83,100,80,5.21
-20.31,27.0,22,0,6.7
-22.4,3.3,84,8,1.06
39.34,12.93,92,12,1.06
24.63,29.0,16,0,2.1
26.23,25.53,75,68,1.61
71.97,14.05,82,32,5.66
-38.31,0.7,69,20,4.06
26.58,25.0,73,40,3.0
-46.19,12.18,83,32,3.56
-9.07,22.05,99,44,0.86
50.68,13.13,97,100,1.81
37.19,23.85,78,0,1.5
24.04,24.03,97,100,6.26
64.25,9.95,99,80,1.06
63.59,24.0,47,75,1.5
-17.57,18.43,62,0,2.96
-39.89,11.8,80,20,1.76
60.42,20.08,63,88,2.11
-15.19,17.48,100,24,1.96
43.12,23.53,69,8,1.0
17.54,31.0,74,40,2.1
49.55,19.0,82,0,0.5
53.9,17.0,88,0,2.0
-20.34,19.0,88,75,2.6
-33.02,14.0,71,40,8.2
69.41,10.03,89,64,8.51
34.16,0.45,78,76,0.51
40.63,20.35,94,20,1.56
13.6,22.95,78,56,3.56
64.43,6.3,71,88,7.46
43.91,23.29,73,0,1.0
43.26,21.78,94,90,3.6
-16.99,27.0,47,75,4.6
13.76,22.35,97,68,3.76
22.57,30.58,83,0,1.81
37.17,19.48,74,0,1.61
-21.64,20.48,100,76,4.36
5.28,26.51,94,75,3.6
4.14,27.33,100,56,0.61
47.85,19.28,61,8,2.86
-20.73,26.0,11,0,2.6
9.43,22.2,95,12,2.71
-17.74,17.08,67,32,0.61
55.21,22.0,78,75,2.1
3.07,28.95,100,0,2.96
1.74,24.18,90,76,0.76
33.72,30.0,74,20,4.6
-9.2,15.2,71,0,1.11
39.45,22.0,83,20,2.1
27.87,36.0,16,56,12.3
38.18,23.5,83,0,2.1
-25.24,26.0,26,40,6.7
-25.3,20.13,87,0,0.86
39.03,33.0,66,0,4.0
27.21,30.0,8,0,2.1
5.43,20.33,94,44,2.41
0.53,28.08,100,32,2.71
38.43,26.0,27,20,8.2
54.28,12.99,76,0,2.6
39.95,19.0,88,1,2.1
60.91,9.0,70,92,2.6
-0.12,26.0,100,40,1.5
-28.95,18.05,65,64,1.56
27.8,24.86,100,75,2.6
-35.36,18.0,84,0,7.7
28.39,21.0,77,40,4.51
33.6,21.0,100,40,2.1
6.02,28.76,88,75,1.0
66.32,17.68,50,12,2.06
50.04,18.0,93,20,2.1
-18.53,3.53,85,0,0.96
52.63,15.2,85,0,1.96
36.95,26.83,83,40,1.0
62.52,7.23,99,92,1.31
0.07,21.55,100,100,3.16
-31.62,4.23,86,8,3.21
-26.8,21.0,32,0,3.1
-22.0,23.68,29,0,3.21
42.17,13.45,78,20,0.91
7.71,28.48,92,36,2.41
35.63,25.85,87,56,2.96
69.7,14.78,64,0,6.71
40.58,18.0,93,90,3.1
-34.85,15.0,72,75,5.1
36.66,35.0,56,20,2.1
3.47,20.48,97,36,0.91
37.73,20.0,77,75,1.5
65.95,11.35,86,64,3.76
-8.38,24.18,93,56,0.96
10.52,21.08,99,100,4.31
50.45,20.0,52,20,5.7
6.62,24.0,88,20,1.0
-5.56,19.6,86,80,4.81
45.25,26.2,33,24,2.46
-29.95,10.0,87,90,1.56
-40.81,2.8,53,0,4.91
54.32,12.0,100,90,2.6
35.24,35.0,50,20,5.7
17.89,22.7,88,0,1.61
33.93,32.52,62,20,7.2
60.92,17.6,80,0,1.16
35.73,33.0,59,40,2.1
-35.17,13.98,96,100,2.11
62.67,19.6,73,68,2.26
23.99,19.0,82,90,2.01
69.22,7.0,75,75,1.0
-24.93,9.13,81,75,1.5
47.38,21.0,83,5,2.6
-20.01,24.0,44,0,4.1
19.23,29.33,69,20,2.76
51.55,14.0,93,75,3.6
59.06,11.18,72,0,2.06
65.58,11.85,84,100,5.11
29.36,26.51,78,1,2.1
4.89,23.1,100,8,3.56
53.52,14.61,77,90,1.5
63.75,6.0,70,40,3.6
69.01,19.1,82,0,1.61
53.8,13.73,98,92,6.36
47.66,17.0,82,75,5.1
53.03,14.38,80,0,4.11
-13.19,16.8,95,0,1.31
41.38,21.5,100,1,3.31
49.78,18.0,77,1,3.1
64.86,28.0,30,1,2.1
12.65,25.38,92,76,1.61
-30.17,6.88,94,0,3.11
44.15,18.65,82,1,3.56
-26.65,8.8,93,8,1.81
2.29,24.0,94,90,1.5
13.32,28.3,100,68,5.01
11.28,25.0,94,40,5.1
21.28,25.48,87,64,1.36
53.19,14.53,79,0,3.61
24.92,21.0,73,75,2.0
63.29,9.88,100,92,4.11
63.44,9.68,96,8,3.76
54.13,17.48,77,0,1.06
-8.28,24.1,90,8,2.06
42.08,21.55,83,1,2.11
15.79,28.13,89,20,1.31
66.42,11.68,94,92,2.26
14.9,24.38,100,0,4.21
49.65,14.67,82,0,2.1
-32.72,20.0,30,0,5.1
30.05,29.0,66,0,1.36
61.28,15.03,67,0,2.76
10.15,23.0,94,75,1.5
62.59,17.98,81,0,1.31
28.5,22.0,78,48,8.2
-17.73,24.73,97,0,9.16
31.21,23.58,100,0,1.11
-4.58,19.6,84,80,3.21
-20.46,-2.45,26,0,2.91
13.35,27.0,83,75,4.1
60.75,24.18,30,64,1.21
-1.64,5.95,85,88,0.16
64.47,21.3,58,36,2.96
-9.17,24.7,87,20,0.86
40.8,20.8,68,1,1.86
0.52,20.05,100,76,1.16
43.41,15.43,82,90,3.6
52.47,16.63,71,0,1.41
11.0,25.78,97,88,3.81
45.52,24.49,50,20,4.1
-17.53,28.0,69,40,3.6
44.7,23.0,64,20,10.0
48.95,20.0,72,0,2.6
61.99,5.78,94,88,3.36
39.31,23.6,100,90,1.5
-21.05,11.13,78,0,1.21
-5.81,25.0,88,40,2.6
40.67,13.8,89,36,0.96
18.62,22.2,77,48,0.66
48.41,20.0,77,90,2.1
20.89,28.77,78,90,2.6
4.75,26.34,83,75,4.1
20.93,22.0,73,8,8.7
59.58,19.0,88,0,1.5
70.86,15.73,76,36,1.36
18.9,31.28,37,0,6.31
53.69,17.43,76,0,1.36
18.22,28.0,74,20,6.2
-2.68,25.3,95,92,1.76
-28.27,9.13,100,92,3.11
14.32,26.28,73,12,4.76
18.5,29.0,83,75,1.0
-33.69,4.1,93,0,4.01
-16.48,26.13,100,20,0.91
38.73,21.0,94,20,3.31
13.59,24.7,93,48,1.36
25.52,25.68,99,92,1.21
67.67,10.68,59,20,5.61
18.39,18.48,82,20,1.16
62.22,20.18,56,20,1.51
42.05,24.42,41,0,3.1
-0.92,25.48,100,8,2.41
12.35,21.48,96,44,2.66
41.72,13.5,93,0,1.5
-34.48,-0.68,82,0,1.21
3.63,24.0,94,75,1.5
-4.07,23.03,85,32,1.51
35.84,21.0,94,1,1.5
-22.95,12.3,100,0,4.76
-0.86,27.6,100,24,3.21
62.93,12.53,98,92,1.51
29.28,4.83,96,92,1.11
39.93,25.0,57,0,2.6
-6.32,27.08,79,92,2.66
44.83,19.56,77,0,2.6
-18.32,13.0,82,20,1.5
58.44,18.0,77,0,1.5
-24.69,8.63,87,0,1.21
-17.73,28.0,69,40,3.6
29.7,18.95,95,0,1.41
34.81,23.68,83,20,1.5
7.53,27.1,100,20,3.91
16.38,23.0,94,90,2.6
-9.62,21.93,91,24,1.56
6.35,31.0,66,75,5.7
15.61,27.88,68,88,7.91
26.54,28.48,96,80,6.16
32.73,25.28,87,76,0.96
48.72,15.28,81,0,4.51
-5.23,21.53,98,24,0.51
30.3,27.67,54,1,2.6
55.34,26.0,47,1,1.0
61.51,16.0,82,48,7.2
-20.21,19.0,88,75,2.6
-3.99,27.2,78,44,1.76
38.48,22.06,100,1,1.56
62.49,20.59,100,24,1.5
-13.26,22.45,69,0,4.91
-8.49,29.13,70,48,6.11
-30.3,21.0,32,36,5.1
62.83,18.43,71,36,2.71
17.97,26.0,83,40,6.7
-11.2,17.18,100,20,0.76
1.56,25.0,88,90,1.5
-1.7,5.95,85,88,0.16
4.92,20.18,93,20,2.41
-14.92,13.93,83,0,2.41
35.59,20.48,92,0,4.91
52.7,20.8,57,88,1.56
-1.71,24.18,88,12,2.51
63.46,20.55,66,76,1.61
-10.26,18.73,71,20,2.51
62.23,11.0,100,80,5.7
19.93,23.53,99,88,0.86
58.52,22.0,53,40,1.0
51.37,20.48,91,12,1.21
50.56,16.3,75,20,6.81
-38.66,14.43,72,44,3.61
51.27,21.0,68,20,2.6
24.34,32.0,70,75,4.1
-23.65,13.0,71,90,1.5
46.42,19.0,77,0,1.5
-27.46,3.58,65,0,1.11
13.72,29.68,88,32,2.71
14.51,26.0,83,75,1.5
-3.13,25.46,83,0,1.0
60.13,16.73,77,36,1.81
-44.39,12.73,77,12,1.96
48.64,20.0,77,8,1.0
-20.19,9.33,82,0,1.31
19.28,29.0,83,20,3.1
54.77,14.78,79,0,1.56
52.52,14.33,100,0,1.0
25.73,26.33,79,0,6.36
6.63,24.0,88,20,1.0
38.58,19.98,83,1,1.06
10.07,14.33,91,56,1.11
39.7,32.23,71,0,1.81
59.1,20.63,76,68,2.96
65.73,9.6,94,92,2.26
-26.79,4.45,84,0,1.41
42.84,21.18,94,100,1.41
39.95,23.93,35,1,1.5
-35.71,15.45,64,0,2.26
-20.3,14.48,100,0,2.21
10.31,21.33,91,92,1.96
-33.28,13.28,100,44,9.26
7.98,24.98,79,0,9.61
31.56,33.0,24,0,3.1
-34.72,15.68,85,32,4.96
22.76,21.1,99,92,1.21
4.42,24.0,94,75,1.5
56.23,20.0,77,75,1.5
14.69,26.03,92,88,4.31
40.42,30.0,13,1,3.1
45.45,22.0,53,0,4.0
30.29,17.8,97,92,1.11
14.45,25.58,77,48,5.36
62.78,14.0,93,0,0.5
9.67,19.78,98,92,1.31
-2.51,22.88,96,36,2.06
-23.35,10.73,92,0,1.11
34.64,16.85,87,1,4.6
45.6,17.44,68,0,2.6
-28.77,17.03,70,0,4.31
63.83,22.0,94,90,1.5
1.24,10.08,98,68,0.86
-3.15,29.6,84,12,4.51
21.46,28.18,97,80,9.86
66.15,4.28,87,76,3.01
-38.55,1.13,87,12,3.76
-36.83,14.05,100,20,5.16
-43.15,12.0,71,12,1.0
51.62,13.35,95,68,3.21
8.56,26.0,88,0,2.6
11.67,27.58,100,64,10.76
58.22,15.8,73,36,2.56
-1.76,25.0,83,0,5.1
-45.58,4.31,75,75,2.1
21.03,24.68,91,92,4.46
42.68,22.0,78,0,2.6
26.63,28.08,100,56,6.16
-32.49,16.0,55,0,2.6
-14.27,22.53,100,88,2.06
-20.01,19.0,88,75,2.6
42.06,21.81,82,1,3.1
59.24,11.05,100,92,4.66
-18.36,10.1,58,0,2.21
57.05,16.45,83,0,1.06
12.92,21.8,86,100,1.06
63.73,18.0,93,75,2.6
47.47,22.8,43,0,1.66
40.8,14.0,87,1,5.1
57.79,19.0,88,0,2.1
39.62,23.44,94,75,2.01
-29.88,4.58,87,8,4.76
-19.06,25.0,65,40,6.7
24.75,35.46,50,40,7.2
50.27,29.0,32,75,10.3
26.33,29.0,35,0,3.1
-13.71,14.83,94,0,1.86
-16.92,27.0,47,75,4.6
12.41,23.63,87,24,4.06
-17.01,13.1,97,68,1.16
53.6,18.0,63,40,1.96
17.48,28.88,88,64,9.91
41.28,20.84,100,20,2.6
45.22,22.0,40,40,4.1
35.01,18.05,96,56,5.16
-1.93,22.13,95,56,1.76
59.92,11.1,100,12,0.91
42.88,20.41,94,90,3.6
36.62,15.81,87,90,3.1
-19.53,10.38,84,0,1.21
10.24,26.03,89,92,1.96
16.28,29.63,58,100,3.76
32.69,32.48,82,0,1.96
61.17,10.0,71,0,4.0
13.22,30.0,62,44,4.1
-3.71,26.0,83,75,5.7
31.55,26.36,47,1,3.6
40.74,22.06,77,1,2.06
11.24,25.0,100,75,3.1
53.05,22.0,56,80,4.0
17.54,29.0,21,5,2.1
8.2,25.8,93,92,2.91
-17.57,28.0,69,40,3.6
54.64,17.0,72,0,3.0
-14.47,30.0,23,0,5.1
2.04,24.93,100,80,7.41
12.25,29.0,83,75,3.6
56.17,16.0,59,0,1.0
13.5,27.88,83,64,1.51
46.42,32.48,28,1,0.51
27.91,23.0,69,40,10.8
37.93,23.2,75,0,1.76
33.19,23.4,94,90,2.66
27.71,23.0,88,75,0.91
-14.8,10.6,49,0,3.36
-43.25,1.35,63,36,4.06
